ligne,nb,iter,console
8,,,"Entrez un entier positif : "
9,5,,
10,,,La séquence 3N+1 est : 5
11,,0,
12,,,
13,,1,
14,,,
15,,,
16,,,
17,16,,
18,,,
19,,,La séquence 3N+1 est : 5 - 16
13,,2,
14,,,
15,8,,
16,,,
17,,,
18,,,
19,,,La séquence 3N+1 est : 5 - 16 - 8
13,,3,
14,,,
15,4,,
16,,,
17,,,
18,,,
19,,,La séquence 3N+1 est : 5 - 16 - 8 - 4
13,,4,
14,,,
15,2,,
16,,,
17,,,
18,,,
19,,,La séquence 3N+1 est : 5 - 16 - 8 - 4 - 2
13,,5,
14,,,
15,1,,
16,,,
17,,,
18,,,
19,,,La séquence 3N+1 est : 5 - 16 - 8 - 4 - 2 - 1
20,,,
21,,,La séquence s'est terminée après 5 itérations.
