longPiece	largPiece	plancheLong	plancheLarg	plancheTotal	nbBoites	planchesSurplus	certificat	totalBoite	totPayer	economies	console
192											
											Largeur de la pièce (po) :
	132										
		2									
			2								
				4							
					1						
						8					
											-------------------------
											Vous aurez besoin de 9 boîtes de 12 planches.
											Vous aurez 3 planches de surplus.
											-------------------------
											Indiquez la valeur du certificat cadeau :
							25				
								248.31			
										49.662	
								198.648			
									173.648		
											
											Total à payer : 173.648$
											Economies réalisées : 49.662$
